Ultimo,Abertura,Maxima,Minima,Ultimo_2,Abertura_2,Maxima_2,Minima_2,Ultimo_3,Abertura_3,Maxima_3,Minima_3,Dia_seguinte
0.9970,0.9976,0.9987,0.9966,0.9993,0.9970,1.0005,0.9966,0.9993,0.9993,0.9999,0.9981,0.9994
0.9993,0.9970,1.0005,0.9966,0.9993,0.9993,0.9999,0.9981,0.9994,0.9993,0.9997,0.9977,0.9993
0.9993,0.9993,0.9999,0.9981,0.9994,0.9993,0.9997,0.9977,0.9993,0.9994,0.9998,0.9979,1.0004
0.9994,0.9993,0.9997,0.9977,0.9993,0.9994,0.9998,0.9979,1.0004,0.9994,1.0008,0.9986,0.9995
0.9993,0.9994,0.9998,0.9979,1.0004,0.9994,1.0008,0.9986,0.9995,1.0003,1.0009,0.9992,0.9995
1.0004,0.9994,1.0008,0.9986,0.9995,1.0003,1.0009,0.9992,0.9995,0.9995,1.0006,0.9990,0.9990
0.9995,1.0003,1.0009,0.9992,0.9995,0.9995,1.0006,0.9990,0.9990,0.9995,1.0002,0.9989,0.9988
0.9995,0.9995,1.0006,0.9990,0.9990,0.9995,1.0002,0.9989,0.9988,0.9990,0.9999,0.9985,0.9984
0.9990,0.9995,1.0002,0.9989,0.9988,0.9990,0.9999,0.9985,0.9984,0.9989,0.9997,0.9981,0.9982
0.9988,0.9990,0.9999,0.9985,0.9984,0.9989,0.9997,0.9981,0.9982,0.9984,0.9999,0.9979,0.9991
0.9984,0.9989,0.9997,0.9981,0.9982,0.9984,0.9999,0.9979,0.9991,0.9982,0.9996,0.9978,0.9995
0.9982,0.9984,0.9999,0.9979,0.9991,0.9982,0.9996,0.9978,0.9995,0.9991,1.0009,0.9986,0.9986
0.9991,0.9982,0.9996,0.9978,0.9995,0.9991,1.0009,0.9986,0.9986,0.9993,0.9998,0.9976,0.9983
0.9995,0.9991,1.0009,0.9986,0.9986,0.9993,0.9998,0.9976,0.9983,0.9983,0.9997,0.9914,0.9975
0.9986,0.9993,0.9998,0.9976,0.9983,0.9983,0.9997,0.9914,0.9975,0.9984,0.9997,0.9923,0.9972
